gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,W1
0.0159770447031095,0.0156365029195168,90.3058251787597,29.040493016349,0.00129669109760701,0.000808412696587719,-1.39344689800132e-09,3.04855851692091e-09
0.000103123659791159,0.0145931478846993,79.2276054671561,30.8961854539767,6.83741764972241e-05,0.000357975028124994,-3.28177642192445e-10,2.30994335884328e-06
0.00856823657916407,0.0737356727683842,39.8365034651622,59.9881196289705,0.000218082067290855,0.00104462444009702,-2.22133633434659e-09,4.82860847774562e-07
0.000603215528655695,0.0220428945697058,73.5275985276598,87.2435590524148,0.000597244000563391,0.00112040539827064,-1.97322596734462e-10,2.38711222507022e-06
0.000598277289977954,0.0106846846714994,22.9917997366616,89.9714733412073,0.00130128549220094,0.000702961107448481,4.35301330284605e-11,2.66085543179696e-07
0.0033626769440848,0.0157140992306966,73.4099185368659,82.9056882671306,0.000821675770322816,0.00141584891512607,-2.80351428748641e-09,8.35278133109104e-09
0.000759116895621338,0.0807362607504787,30.5393845406069,55.0048681599628,0.00171905377343718,0.000532474981785036,1.07271407229515e-09,7.92049666226759e-07
0.000843699581955349,0.0124950102372288,95.2003678921408,26.692074729428,0.000906132791125597,0.000810964030851943,1.60368585886203e-09,2.87787600533684e-06
0.00169307903938629,0.0132773212408539,47.6853828313285,84.0059434794293,0.000187269095009936,0.00123651441881261,-2.01356452949771e-09,2.69866852832485e-07
0.00675171317381333,0.0377032903277649,45.8642316438374,12.6150792869691,0.00100813858439496,0.000375630785509552,7.05303096765098e-10,9.5835499094181e-07
0.0380670024411742,0.0411789623630613,65.7907704197206,93.8715457608233,0.000613236151957133,0.00145701809659022,-3.83530746833611e-09,2.9719426197287e-11
0.0011717455993757,0.040429203355085,75.9070167284704,65.5425482126421,0.000359314850802273,0.00101087294019704,-8.11232754002609e-10,3.55575567623896e-06
0.000959234007976935,0.0745966406240566,67.9066505870128,31.9608530997004,0.00158953172788125,0.000463302812243423,3.81048897153027e-09,2.35993504939581e-06
0.000109486634868587,0.0130359018160046,69.4841983963644,27.5269197563793,0.000414319698419975,0.00126024649108317,-3.70295384256285e-11,2.90183742862841e-06
0.000225250940184738,0.0262435995887151,44.0872443969994,66.9283004714263,0.00198206431526537,0.000340662648636381,4.64343233089269e-09,3.05223431133324e-06
0.0372723015881064,0.0165443923522657,64.8694550987622,22.5691059521821,0.00132612652252934,0.00137692508028123,-3.2502264408784e-09,1.46069849502364e-10
0.0338082090820766,0.0316711534930531,88.4852965165386,90.6286965989074,0.00103688488294772,0.00012052499335737,-7.10717810784326e-11,1.40048111920201e-09
0.0221025737217212,0.0100631304091036,60.9583669410148,22.5191546480583,0.00160311012315431,0.000761365784659825,-1.36643368812485e-09,8.99759836791796e-10
0.00434712062775559,0.0338935376507507,24.5276573926094,49.5490206915145,0.00160937158383556,0.00154967715486258,-3.22226518445166e-09,8.49004872830832e-09
0.000219000164334206,0.0490958708954761,30.7387253408653,64.9102044982163,0.000463736485961227,0.000541112583915988,1.21910822791434e-10,4.53285938487319e-06
0.00406879721677619,0.0116004276390652,48.7266302049273,72.5798019406459,0.000421638155664405,0.0004122034787231,-3.00232909628313e-10,3.02559191397494e-07
0.000130740084189116,0.0755033061308817,58.6171170952831,89.1264383870015,0.000839937627989271,0.000283294859072317,2.8134137559743e-09,7.99667282736979e-06
0.00118872724125557,0.0215530912521205,27.3639506502489,87.8826016017642,0.000233315546115927,0.000802013882281184,-1.064753716783e-09,1.43056678671536e-06
0.0209198978608804,0.0167735596549892,86.8981769755543,86.3176716029299,0.0017554950375776,0.0015779470053034,-4.02527732486259e-09,6.32546876812519e-09
0.000298071821775497,0.0710903621788496,39.6964858126016,35.6939068178279,0.000388644254650937,0.00162306788155693,-1.64612165088762e-09,6.24438412558731e-06
0.00493768405627248,0.0185640066080474,89.7318419497233,28.2404037572489,0.0016242426601708,0.00173481192696323,-2.87088476725455e-09,6.6387670314293e-09
0.0193639080826074,0.0512833453946597,47.0503424472832,73.5463950322016,0.000187518262239098,0.000979084009580067,-2.3055227412657e-09,5.11441347379544e-08
0.000139802260428873,0.0181610803158265,33.2952515958556,27.8297107319024,0.00155378318967014,0.00113311516974721,2.68785105697091e-09,3.45932857708695e-06
0.00244241736377427,0.0228644861215545,89.768628341411,84.8445795516588,0.000244505253577894,0.000522054821659004,-3.97370457949077e-10,1.94724393438107e-06
0.000150119045982084,0.0101861461584472,73.5220196866248,57.1593643818223,0.00049954197611121,0.000939275910550308,2.73280102864629e-10,2.30124621939538e-06
0.000165064919368323,0.0130842480288907,26.7397385545631,99.177374335543,0.0032802976382328,0.00113491082247054,1.67214791164737e-09,2.20352341989074e-07
0.00010257437686036,0.07498570538416,17.72391861943,65.7810633368191,0.00141103655487046,0.000612082637250743,2.28068888070385e-09,4.93713609659399e-06
0.00020313407617206,0.0721739182091326,63.4831169872433,85.658566535659,0.000701088357559753,0.000318805979046359,2.01117059793685e-09,7.42323991725214e-06
0.00116021344652893,0.0331092589899682,71.4342039669826,31.2851776946203,0.00100390283464253,0.00135683736754807,6.36367815605046e-10,2.44265887125273e-06
0.0120974755495609,0.0122208587215072,16.4954472954032,58.3713782320295,0.000522814827107666,0.00046607289570201,-7.64801135212576e-10,2.235966169284e-08
0.0469286485161757,0.0927433081908446,83.1360955339511,47.1634666676259,0.000528599577021297,0.000171346776255747,-1.61618869889881e-10,4.62148510950701e-08
0.0130023426285997,0.0164457083591711,99.7035218992932,24.7926632132783,0.000573187994825395,0.00107708190445792,-1.87634153747597e-09,2.85062165500319e-08
0.00067797896788113,0.0250152998084857,85.7260776512539,34.9371686874314,0.00107448354761222,0.000272064025345183,3.25502388885306e-09,4.70795418270064e-06
0.00176271573465341,0.0502208515227882,63.5750412268068,80.9870830972702,0.00132685666635828,0.00107448013201002,-1.37469054450953e-09,9.14558832120063e-08
7.51046399484281e-05,0.0552444879962344,68.1726543258369,62.4521386356006,0.000195278677616975,7.669978838729e-05,3.23978709075144e-10,4.95938156591191e-06
0.0067960577857279,0.055495500390973,37.9015716810712,22.9170684652135,0.000193432607535944,0.000373579499480945,-3.48249895081167e-10,3.51160697695263e-06
8.25075031265026e-05,0.0137947108604907,13.5480818187303,79.9582233752894,0.000697800378415616,0.00149106574406237,-9.12389847808855e-10,1.77961207194935e-06
0.0222231056086933,0.0501772034979313,85.5838589895034,48.3708143177951,0.000234524079394663,0.000833788117403457,-1.80381467897235e-09,1.18953497786983e-07
0.00753604459984805,0.0183359326042445,34.8868889103097,86.5174003921179,0.000727524520839554,0.000117633464053942,2.0145396247427e-10,6.41491580576311e-08
0.0158149798043889,0.0711871435847815,80.8497700113978,97.8679013604204,0.000959040138492755,0.00107551188675885,-2.56985615278401e-09,8.98378679331372e-10
0.00675557089290827,0.0974177938985801,45.4120413295569,58.8127108529983,0.00266348698053465,0.00124087477757114,-2.61348486719029e-09,9.03023453041664e-07
0.00618386156872678,0.0328806774833748,66.9810863049844,76.6117048875237,0.000351330397645906,0.000703935958350265,-1.20431998743958e-09,2.68708310500935e-07
0.030851651331583,0.07079735166533,85.5137873926163,87.4660536762757,0.000277866858565284,0.000812116978078597,-1.94779778516128e-09,2.01487847514461e-08
0.0220794500004689,0.0351645310298384,60.8624221066047,89.4861046607999,0.00117266761867262,0.000364181308354807,-6.67988939795817e-10,1.65364629077032e-09
9.63575955254818e-05,0.0103787223225692,98.1204199941374,31.4117735130017,0.000512005634389863,0.00156895115800368,4.17483113903452e-10,2.62595882540614e-06
0.0011707367628408,0.0676804800216347,16.0479969658859,31.850931162683,0.0016176484423699,0.000541261748452208,7.52012022303622e-10,8.62197766420653e-07
0.00150362826146413,0.022631773542194,74.8849149194204,70.7042326292736,0.000827404458643629,0.000568356635940622,3.2693498399521e-10,8.48325362435541e-07
0.000106142794183988,0.0308593234375256,18.2134806708321,23.5959347458818,0.000569784937918528,0.000127746058941723,9.26782034594383e-10,3.36768625402815e-06
0.000144601696064226,0.0156746953446734,73.6800236458439,14.1102296661173,0.000563248270071897,0.000139187798865309,1.03984468774637e-09,2.93521448778646e-06
0.0448561612448492,0.0218846114526433,74.2257537822334,63.1546037801908,0.00124828560291482,0.00122816037882907,-3.13512140765545e-09,1.14207910804561e-11
0.000326325089255841,0.0108138330903401,54.3434406800408,14.3309347329963,0.000569486741715085,0.000167593219515635,7.56362293928173e-10,1.95531622701223e-06
0.0245711602422335,0.0259931128972202,14.9904420681409,15.9157879064004,0.000639774557069047,0.000395403434570204,-4.196313004414e-10,1.49835782622602e-07
0.000155479788400397,0.0818030682837542,91.977035112752,16.3585643210197,0.00111862892388312,0.00253480355127204,7.39420932118548e-09,1.14417830930638e-05
0.000124751245010424,0.0683556629582883,38.1888057387957,91.4819844551757,0.000500195641336499,0.00337754363338045,-4.0051296583636e-09,5.98465593952604e-06
0.000447744451104122,0.0434284292144081,74.0320979524522,25.6049800076878,0.000157917085126298,0.00180121495071946,-1.82760726933757e-09,6.0890675905504e-06
0.000418059099558425,0.0124084721718915,96.4049797622363,92.127658678928,0.00058816811790867,0.00146577569318328,2.4776093437863e-10,2.45553198935813e-06
0.000922859451877502,0.0110073902272567,49.3004515493998,54.0707400026228,0.000699080010525135,0.000186746347195104,8.51084361631343e-10,1.60014680799008e-06
0.000491993286614225,0.0296330019631008,85.8938143002883,74.1016883850842,0.000844046509160947,0.00113807488157855,1.32701160775986e-09,4.0609657822708e-06
0.00253044046039009,0.0121115389163444,73.1600965086323,74.1449467037777,0.000425475677186848,0.00117473585520676,-1.85042843540161e-09,7.62234823325564e-08
9.65659436965638e-05,0.029741463739631,24.4746563069159,13.1313831069044,0.0019483627177287,0.000782460035839308,4.82448751976286e-09,4.92447438499866e-06
0.0123851838813903,0.0526824832298976,47.1119318100355,76.6509782650207,0.000644363737990225,0.000912661817931503,-2.01896498244432e-09,1.63750723866869e-08
0.000319844668443384,0.017007219871739,85.5768141905262,50.5380455765377,0.000890186801326153,0.000834840204595265,1.8478377965198e-09,3.69269292540976e-06
0.0271153205618098,0.0253352312606418,37.0908019267252,51.5557966084918,0.00144034842020987,0.000932494264629182,-2.17539270934081e-09,2.32693872385965e-10
0.0253630771840556,0.031052087003415,20.2458949509294,74.6467724187953,0.000803789244464692,0.00123186550758088,-3.0876014911208e-09,3.8126103844948e-10
5.57883356785878e-05,0.0145038013394786,23.4757391432421,38.9419275560516,0.00163170665463124,0.000124018516692667,2.95983500636668e-09,2.50302405632901e-06
0.0181977101039615,0.0639913572515816,28.6422533665721,95.1751858559988,0.000793925951729354,0.000989256419335221,-2.38371694551419e-09,1.5118602690683e-09
0.00531849218403745,0.0151115835918849,15.5701334352507,92.9510459638817,0.00284332366963438,0.00165169331015056,-3.90268780530561e-09,6.89385828567745e-11
6.48650685399281e-05,0.0111142499812715,21.6368662527734,84.6084543095954,0.000267302186629641,0.00210778128798588,-1.87201093620935e-09,1.82512253636204e-06
0.000422487148481239,0.0230258805533382,70.2378065817008,68.8965912291367,0.0011689653604604,0.000457022588151751,2.67059284302533e-09,3.5730271450336e-06
0.00246444131206381,0.0156847624788534,52.9009984065457,43.3277796920562,0.000335830407068539,0.00229543994155441,-4.48126960921524e-09,5.11215926241511e-08
0.00302832786490629,0.0189598970703859,75.1770081352527,15.8345389707111,0.00142620149584986,0.00106597141759688,8.97488030359748e-10,5.17957557417972e-07
0.0055132822647109,0.0468754911854504,63.7517479066871,73.1362374638061,0.00082944038066128,0.000430392556531189,-3.91343987291478e-10,1.02491366610356e-07
0.00394698503111128,0.0686769763743938,75.3497109434038,42.1007103573299,0.000888931590260836,0.0029383679287858,-6.55836917120732e-09,2.93766880684756e-08
0.0327399093768174,0.0342341307306405,34.1579199236046,55.3762868366486,0.000429527856585495,0.000961945794016461,-2.31380819447251e-09,3.10837178058774e-09
0.00813446102344624,0.0657275844334804,19.4874948578514,47.6602534702145,0.00105750810295086,0.000729881144324563,-1.28333346778578e-09,4.73194240389334e-08
0.00858097298147535,0.0221011390118638,19.820527485297,97.7724664338933,0.00140874836700068,0.000965708728653347,-2.15920656358957e-09,1.17510952843925e-09
0.00010607835838898,0.019982544733511,25.7817193588535,81.6019729920439,0.00208566251573069,0.000400020206013133,3.77304676367144e-09,2.55048134738097e-06
0.00151312853758193,0.0163361728895454,91.2829045495685,85.5478836780602,0.00195722342203767,0.000204694926746375,1.37605977939264e-09,4.18811843674132e-08
0.0199169628156267,0.0239614720030582,62.457613365683,26.3199424083476,0.000824699338746767,0.000410204177255468,-4.47348479366379e-10,5.39289927876472e-08
5.67198831381784e-05,0.0249016182819122,90.7056345046096,88.7553605156068,0.00142970808209155,0.000468190232145942,5.52202697090755e-09,5.44990817287815e-06
0.000176880992541924,0.0261257412639806,15.2573335854953,27.7019293136438,0.00189359051757855,0.000254706497718959,3.46877166252467e-09,2.98334294052409e-06
0.000108895426096508,0.0343679366721041,48.8888493678283,68.0097976612487,0.0014897536088439,0.00200844802758205,3.74779295853582e-09,5.80064868787779e-06
0.0181494296578926,0.0214992800781416,17.3088827897002,12.5173216793981,0.000529451173546153,0.000303479641010035,-3.24403005459294e-11,5.59679673935843e-07
6.98767102905171e-05,0.0103178111269634,87.0352102398211,96.8101496508249,0.00092228366494495,0.00026897985993943,1.60539037290786e-09,2.38672966145679e-06
0.00157491344224966,0.0611850787282557,47.3433467350183,32.6258439122979,0.000895883218864929,0.00158770448481428,-1.70024180685095e-09,1.37721983041954e-06
0.00161524948525359,0.0295339928199969,56.2788387654555,33.8740116789962,0.0021809025778863,0.00386341174784336,-7.60683712579224e-09,9.19417366873094e-09
0.00984354224574531,0.0520287185626485,43.3361814241783,93.99781864249,0.000580092095341575,8.83567088688204e-05,1.97350793693316e-10,1.37568349345145e-07
